epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1524540314038594,1.1524540314038594,0.5497639011383056,86.97,86.97
2,0.4739580053170522,0.4739580053170522,0.39337871303558347,89.57,89.57
3,0.3818077873706818,0.3818077873706818,0.3408993969917297,90.51,90.51
4,0.34105319606463114,0.34105319606463114,0.3116130105018616,91.23,91.23
5,0.3149500227133433,0.3149500227133433,0.2908241646766663,91.89,91.89
6,0.295634659465154,0.295634659465154,0.2757152812957764,92.16,92.16
7,0.27970651335716246,0.27970651335716246,0.26256068611145017,92.67,92.67
8,0.2662494326432546,0.2662494326432546,0.2511890102386475,92.99,92.99
9,0.25437400403022764,0.25437400403022764,0.2423977026939392,93.07,93.07
10,0.24372666021982828,0.24372666021982828,0.23220240163803102,93.48,93.48
