optimizer,empirical_rate,theoretical_rate,optimality_gap,optimality_gap_pct,convergence_regime,pl_constant,fit_r_squared,mean_relative_error,median_relative_error,max_relative_error,final_loss,theoretical_final,experiment,dataset,n_iterations,initial_loss,loss_reduction,stability_ok,max_stable_lr,lipschitz_L,problem_type
AdaBound,0.3601805204972672,0.999692034984822,,,linear (PL),6.477120544299072e-05,0.23235559495244595,0.8127172819632237,0.8742720180456247,0.9455604617364716,0.0194619124163807,0.3574959143982157,mnist,MNIST,50,0.3629323828135621,0.3434704703971814,True,9.509318626131213,0.21032001120501767,non_convex
Adam,0.16900185965587797,0.9990184799205307,,,linear (PL),0.00029709270713367144,-0.29651417038589667,0.7647278986927839,0.8115855812628247,0.9351053946724699,0.0161454703161088,0.24879526315217435,mnist,MNIST,21,0.253729912236121,0.2375844419200122,True,6.607500324992286,0.3026863263911129,non_convex
AMSGrad,0.09899609290765385,0.9999668197888786,,,linear (PL),7.860017941807056e-06,0.9250549592116556,0.9316233321480264,0.9966239652423021,0.9982868769027451,0.0004268892583745,0.249187789766686,mnist,MNIST,33,0.2494525139824756,0.24902562472410109,True,8.442782539949983,0.2368887260256082,non_convex
LAMB,0.40534713082586726,0.999511036730983,,,linear (PL),0.00020186217308785587,-3.884735742775761,0.8027281525228493,0.8388986726310169,0.8889215742574483,0.1428476325261273,0.6014580926647498,mnist,MNIST,43,0.6139406985581204,0.4710930660319931,True,4.844525960831529,0.41283708997953517,non_convex
SGD,0.3209993457292397,0.9996270599552928,,,linear (PL),0.00014052889044633088,0.6518375442869253,0.8510018443966981,0.9167999448368788,0.9548350892144678,0.0199862281875729,0.44251672228385486,mnist,MNIST,37,0.4484990664285506,0.4285128382409777,True,5.307663691397954,0.3768136257844234,non_convex
SGD_Momentum,0.20322263670824534,0.999518185674878,,,linear (PL),0.00019521709402828442,0.8749425576598118,0.8678222388783305,0.9422040525774245,0.97937967228299,0.0071677667931852,0.3476068367822493,mnist,MNIST,28,0.3521594948960707,0.3449917281028855,True,4.936189912263631,0.4051707968186425,non_convex
AdaBound,3.590288434837975,0.9993559357415306,,,linear (PL),0.0005682162806517525,-2.819905717686063,0.560979027442458,0.6154412543096618,0.7563249183957348,0.481295426630161,1.9751524182822684,cifar10,CIFAR10,50,2.0385013087229296,1.5572058820927686,True,2.2669686892132552,0.8822353875095179,non_convex
Adam,1.9811317723876432,0.999645210781473,,,linear (PL),0.0006844370099717544,0.5046790151260955,0.7893099396037713,0.8623260871714246,0.9290505824805743,0.1327243622561747,1.8706899505234174,cifar10,CIFAR10,39,1.89608588882468,1.7633615265685054,True,1.0367330034993074,1.9291370036927122,non_convex
LAMB,2.9173870340168255,0.9993865202224134,,,linear (PL),0.0005532754401972364,-1.9160560506016155,0.6257999975406182,0.6822323516171118,0.8134002490416836,0.3376030837270347,1.8092365186692572,cifar10,CIFAR10,50,1.8644659851085057,1.526862901381471,True,2.2176288084210394,0.9018641859292981,non_convex
SGD_Momentum,2.086005866287543,0.9996074285679836,,,linear (PL),0.0005136645726834638,0.49972313745890384,0.8056816377210392,0.8782150105678602,0.9617259413294367,0.0676616787360134,1.760954517701235,cifar10,CIFAR10,50,1.7951629155061462,1.7275012367701328,True,1.5285127801032836,1.3084614182060403,non_convex
