optimizer,function,threshold,convergence_rate_pct,success_count,total_count
Adam,Rastrigin,1e-06,0.0,0,10
Adam,Rastrigin,1.262600109874855e-06,0.0,0,10
Adam,Rastrigin,1.5941590374559996e-06,0.0,0,10
Adam,Rastrigin,2.0127853758499383e-06,0.0,0,10
Adam,Rastrigin,2.541343036702639e-06,0.0,0,10
Adam,Rastrigin,3.20869999737045e-06,0.0,0,10
Adam,Rastrigin,4.051304969235378e-06,0.0,0,10
Adam,Rastrigin,5.1151780992931454e-06,0.0,0,10
Adam,Rastrigin,6.458424430196978e-06,0.0,0,10
Adam,Rastrigin,8.154407395185153e-06,0.0,0,10
Adam,Rastrigin,1.0295755673125127e-05,0.0,0,10
Adam,Rastrigin,1.2999422244132449e-05,0.0,0,10
Adam,Rastrigin,1.64130719537513e-05,0.0,0,10
Adam,Rastrigin,2.0723146452190295e-05,0.0,0,10
Adam,Rastrigin,2.6165046987488235e-05,0.0,0,10
Adam,Rastrigin,3.3035991201283396e-05,20.0,2,10
Adam,Rastrigin,4.171124612056516e-05,20.0,2,10
Adam,Rastrigin,5.2664623934842807e-05,20.0,2,10
Adam,Rastrigin,6.649435996665046e-05,20.0,2,10
Adam,Rastrigin,8.395578619995104e-05,20.0,2,10
Adam,Rastrigin,0.00010600258488068824,20.0,2,10
Adam,Rastrigin,0.00013383887531737563,20.0,2,10
Adam,Rastrigin,0.0001689849786812457,20.0,2,10
Adam,Rastrigin,0.0002133604526501411,30.0,3,10
Adam,Rastrigin,0.00026938893095901725,30.0,3,10
Adam,Rastrigin,0.0003401304938279253,30.0,3,10
Adam,Rastrigin,0.00042944879887892723,30.0,3,10
Adam,Rastrigin,0.0005422221006501586,30.0,3,10
Adam,Rastrigin,0.0006846096838574657,30.0,3,10
Adam,Rastrigin,0.0008643882620598271,30.0,3,10
Adam,Rastrigin,0.0010913767146512726,30.0,3,10
Adam,Rastrigin,0.0013779723598335567,30.0,3,10
Adam,Rastrigin,0.001739828052930364,30.0,3,10
Adam,Rastrigin,0.0021967070907932353,40.0,4,10
Adam,Rastrigin,0.002773562614198415,40.0,4,10
Adam,Rastrigin,0.0035019004614317093,40.0,4,10
Adam,Rastrigin,0.004421499907374487,40.0,4,10
Adam,Rastrigin,0.005582586268862695,40.0,4,10
Adam,Rastrigin,0.007048574036451903,40.0,4,10
Adam,Rastrigin,0.008899530352885224,40.0,4,10
Adam,Rastrigin,0.011236548001387516,40.0,4,10
Adam,Rastrigin,0.014187266741165962,40.0,4,10
Adam,Rastrigin,0.01791284454622002,40.0,4,10
Adam,Rastrigin,0.022616759492228647,40.0,4,10
Adam,Rastrigin,0.02855592301990106,40.0,4,10
Adam,Rastrigin,0.03605471154250506,40.0,4,10
Adam,Rastrigin,0.045522682755073096,50.0,5,10
Adam,Rastrigin,0.057476944248353465,50.0,5,10
Adam,Rastrigin,0.07257039612324216,50.0,5,10
Adam,Rastrigin,0.09162739011886731,50.0,5,10
Adam,Rastrigin,0.11568875283162833,50.0,5,10
Adam,Rastrigin,0.1460686320364989,50.0,5,10
Adam,Rastrigin,0.1844262708585533,60.0,6,10
