Optimizer/Config,Final Loss,Loss Std,Final Test Acc (%),Acc Std (%),Speed (iters/sec),rank_score
SGD_lr3.0e-02,,,97.095,0.069,0.0354,97.0605
SGD_Momentum_lr3.0e-02,,,97.095,0.069,0.0403,97.0605
SGD_Momentum_lr1.0e-02,,,94.822,0.0623,0.0427,94.79085
SGD_lr1.0e-02,,,93.114,0.0849,0.0242,93.07155
SGD_lr3.0e-03,,,91.943,0.0756,0.0507,91.9052
SGD_Momentum_lr3.0e-03,,,91.943,0.0756,0.0263,91.9052
SGD_Momentum_lr1.0e-03,,,89.08,0.113,0.0146,89.0235
SGD_lr1.0e-03,,,85.669,0.3133,0.0212,85.51235
SGD_lr3.0e-04,,,81.142,0.7874,0.0255,80.7483
SGD_Momentum_lr3.0e-04,,,81.142,0.7874,0.0145,80.7483
SGD_lr1.0e-04,,,64.977,2.1393,0.0164,63.90735
SGD_Momentum_lr1.0e-04,,,64.977,2.1393,0.0155,63.90735
