experiment,pattern,status,path
2d_optimization,visualizations/static/2d_optimization/2d_rastrigin_loss_convergence.png,missing,
2d_optimization,visualizations/static/2d_optimization/2d_rastrigin_grad_norm_convergence.png,missing,
2d_optimization,visualizations/static/2d_optimization/2d_rastrigin_trajectory_overlay.png,missing,
2d_optimization,visualizations/static/2d_optimization/2d_rosenbrock_loss_convergence.png,missing,
2d_optimization,visualizations/static/2d_optimization/2d_rosenbrock_grad_norm_convergence.png,missing,
2d_optimization,visualizations/static/2d_optimization/2d_rosenbrock_trajectory_overlay.png,missing,
2d_optimization,visualizations/static/2d_optimization/2d_final_loss_by_optimizer.png,missing,
2d_optimization,visualizations/static/2d_optimization/2d_convergence_rate_by_optimizer.png,missing,
2d_optimization,visualizations/static/2d_optimization/2d_convergence_rate_strict_by_optimizer.png,missing,
2d_optimization,visualizations/static/2d_optimization/2d_convergence_profile_by_threshold.png,missing,
robustness,visualizations/static/robustness/robustness_loss_convergence.png,missing,
robustness,visualizations/static/robustness/robustness_grad_norm_convergence.png,missing,
robustness,visualizations/static/robustness/robustness_start_point_sensitivity.png,missing,
robustness,visualizations/static/robustness/robustness_final_loss_by_optimizer.png,missing,
robustness,visualizations/static/robustness/robustness_convergence_rate.png,missing,
robustness,visualizations/static/robustness/robustness_convergence_rate_strict.png,missing,
robustness,visualizations/static/robustness/robustness_convergence_profile.png,missing,
sam_sensitivity,visualizations/static/sam_sensitivity/sam_rho_sweep.png,missing,
sam_sensitivity,visualizations/static/sam_sensitivity/sam_all_metrics.png,missing,
sam_sensitivity,visualizations/static/sam_sensitivity/sam_train_loss_by_epoch.png,missing,
sam_sensitivity,visualizations/static/sam_sensitivity/sam_test_accuracy_by_epoch.png,missing,
ablation,visualizations/static/ablation/ablation_loss_convergence.png,missing,
ablation,visualizations/static/ablation/ablation_final_loss_by_optimizer.png,missing,
ablation,visualizations/static/ablation/ablation_iterations_by_optimizer.png,missing,
ablation,visualizations/static/ablation/ablation_convergence_rate.png,missing,
ablation,visualizations/static/ablation/ablation_convergence_profile.png,missing,
beta_sensitivity_2d,experiments/beta_sensitivity_2d/rosenbrock/momentum/momentum_trajectories.png,present,f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\beta_sensitivity_2d\rosenbrock\momentum\momentum_trajectories.png
beta_sensitivity_2d,experiments/beta_sensitivity_2d/rosenbrock/momentum/momentum_metrics.png,present,f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\beta_sensitivity_2d\rosenbrock\momentum\momentum_metrics.png
beta_sensitivity_2d,experiments/beta_sensitivity_2d/saddle_point/adam/adam_heatmaps.png,present,f:\GDSearch\results_proposal_full_20260223_v2_blended_real_like\experiments\beta_sensitivity_2d\saddle_point\adam\adam_heatmaps.png
