iteration,loss,grad_norm,x,y,optimizer,elapsed_seconds,test_acc
0,55.25171171632429,61.19508743286133,-1.707510232925415,-4.581933498382568,Adam,0.0,0.01
1,51.0891195571915,68.88410949707031,-1.7574256658554075,-4.624849796295166,Adam,0.001,0.01
2,46.37571853681455,71.68943786621094,-1.8071492910385127,-4.6700520515441895,Adam,0.002,0.01
3,41.56878185725469,69.15943908691406,-1.8565077781677248,-4.716671466827393,Adam,0.003,0.01
4,37.15135113082447,61.66527938842773,-1.9052040576934808,-4.764332294464111,Adam,0.004,0.01
5,33.56879148768842,50.50177764892578,-1.9526461362838743,-4.812845706939697,Adam,0.005,0.01
6,31.15502654033171,38.26770782470703,-1.997438311576844,-4.862118244171143,Adam,0.006,0.01
7,30.01241199942064,29.377168655395508,-2.0358593463897705,-4.912123680114746,Adam,0.007,0.01
8,29.86234928052939,27.843244552612305,-2.060497045516968,-4.962454319000244,Adam,0.008,0.01
9,30.316939408970345,33.468753814697266,-2.0690646171569824,-5.009219169616699,Adam,0.009,0.01
10,31.00296313813913,40.72029495239258,-2.0666961669921875,-5.04562520980835,Adam,0.01,0.01
11,31.504349206616133,45.07321548461914,-2.057438850402832,-5.069196224212647,Adam,0.011,0.01
12,31.62248891085091,45.8265266418457,-2.043677568435669,-5.080698490142822,Adam,0.012,0.01
13,31.368703465462644,43.59227752685547,-2.0270471572875977,-5.081777095794678,Adam,0.013,0.01
14,30.86194910833679,39.08612823486328,-2.0089216232299805,-5.074089050292969,Adam,0.014,0.01
15,30.25609804483507,32.91984939575195,-1.9907023906707764,-5.059102535247803,Adam,0.015,0.01
16,29.69726987684469,25.74681663513184,-1.97408127784729,-5.038113594055176,Adam,0.016,0.01
17,29.29434398246424,18.634191513061523,-1.9613736867904663,-5.012386798858643,Adam,0.017,0.01
18,29.098459164310785,13.790935516357422,-1.955742239952088,-4.983617782592773,Adam,0.018,0.01
19,29.10633903899772,14.008728981018066,-1.9594980478286743,-4.955591678619385,Adam,0.019,0.01
20,29.24344921698264,17.182125091552734,-1.9700418710708616,-4.934402942657471,Adam,0.02,0.01
21,29.38489066830855,19.78357696533203,-1.983411312103272,-4.922328948974609,Adam,0.021,0.01
22,29.455520441849007,20.993650436401367,-1.996692061424256,-4.918872833251953,Adam,0.022,0.01
23,29.42990797479877,20.68704414367676,-2.0076615810394287,-4.922793865203857,Adam,0.023,0.01
24,29.31231720361988,18.67271041870117,-2.014606475830078,-4.932746410369873,Adam,0.024,0.01
25,29.134996024155008,14.79323673248291,-2.0162441730499268,-4.947422504425049,Adam,0.025,0.01
26,28.963386331570906,9.31850814819336,-2.01157808303833,-4.965424060821533,Adam,0.026,0.01
27,28.89117111807562,5.45364236831665,-1.9997048377990725,-4.984424114227295,Adam,0.027,0.01
28,28.957405154314586,9.065043449401855,-1.9831656217575075,-4.996632099151611,Adam,0.028,0.01
29,29.06280683917544,12.853974342346191,-1.970644474029541,-5.000956535339356,Adam,0.029,0.01
30,29.101866510445355,13.975255966186523,-1.9643855094909668,-4.999364852905273,Adam,0.03,0.01
31,29.0454910872328,12.274404525756836,-1.9647893905639648,-4.993226528167725,Adam,0.031,0.01
32,28.934401080388056,7.971700668334961,-1.9717555046081543,-4.9836602210998535,Adam,0.032,0.01
33,28.859487831324863,2.1633222103118896,-1.9851442575454712,-4.971982955932617,Adam,0.033,0.01
34,28.902509679792907,6.194106101989746,-2.0002858638763428,-4.962789535522461,Adam,0.034,0.01
35,28.966066234301245,9.402034759521484,-2.008495092391968,-4.959652900695801,Adam,0.035,0.01
36,28.966049232680326,9.411086082458496,-2.00954270362854,-4.961082458496094,Adam,0.036,0.01
37,28.906441303165742,6.461770057678223,-2.003928899765014,-4.966242790222168,Adam,0.037,0.01
38,28.85460958347859,0.9144716858863832,-1.992207169532776,-4.974440097808838,Adam,0.038,0.01
39,28.88303895969011,4.821452617645264,-1.9801363945007324,-4.982036590576172,Adam,0.039,0.01
40,28.91622130441253,7.025242805480957,-1.975302457809448,-4.984909534454346,Adam,0.04,0.01
41,28.89969855998134,6.0299458503723145,-1.9773811101913448,-4.983465194702148,Adam,0.041,0.01
42,28.859569946091224,2.1783456802368164,-1.985575079917908,-4.978111267089844,Adam,0.042,0.01
43,28.862190529816644,2.6122663021087646,-1.9956287145614624,-4.971367359161377,Adam,0.043,0.01
44,28.89030453018365,5.384775161743164,-2.001240968704224,-4.9670820236206055,Adam,0.044,0.01
45,28.88384264647209,4.886043071746826,-1.9997817277908323,-4.967193603515625,Adam,0.045,0.01
46,28.85696901337217,1.6384284496307373,-1.9925413131713867,-4.971457958221436,Adam,0.046,0.01
47,28.86080578965356,2.3929638862609863,-1.98437249660492,-4.977145195007324,Adam,0.047,0.01
48,28.879229133488806,4.499330997467041,-1.980351567268372,-4.9809160232543945,Adam,0.048,0.01
49,28.87156683208774,3.768935203552246,-1.9825321435928345,-4.980765342712402,Adam,0.049,0.01
50,28.85490307592764,1.029525876045227,-1.988973617553711,-4.977138996124268,Adam,0.05,0.01
51,28.86052369206959,2.348538637161255,-1.9954010248184204,-4.972430229187012,Adam,0.051,0.01
52,28.871298138916373,3.742620944976807,-1.9978283643722528,-4.969472408294678,Adam,0.052,0.01
53,28.86353416715628,2.8031859397888184,-1.995128154754639,-4.969846725463867,Adam,0.053,0.01
54,28.85413231254252,0.6730116009712219,-1.9894508123397827,-4.973036766052246,Adam,0.054,0.01
55,28.86014153417358,2.280914783477783,-1.984583854675293,-4.976916313171387,Adam,0.055,0.01
56,28.86543607942176,3.0615756511688232,-1.983525395393372,-4.979100227355957,Adam,0.056,0.01
57,28.858454744254367,1.965137362480164,-1.986587643623352,-4.978410720825195,Adam,0.057,0.01
58,28.854170309843887,0.6979129910469055,-1.9914709329605105,-4.975521564483643,Adam,0.058,0.01
59,28.85952754339246,2.173725128173828,-1.994904398918152,-4.972390651702881,Adam,0.059,0.01
60,28.8609927357422,2.4221794605255127,-1.994798183441162,-4.970970153808594,Adam,0.06,0.01
61,28.855507344117008,1.2381614446640017,-1.991543650627136,-4.971992015838623,Adam,0.061,0.01
62,28.8546792666446,0.94364732503891,-1.9875295162200928,-4.974606037139893,Adam,0.062,0.01
63,28.85856366249058,1.9888341426849363,-1.9854520559310915,-4.977031230926514,Adam,0.063,0.01
64,28.85766950555524,1.8013824224472046,-1.986509084701538,-4.97774076461792,Adam,0.064,0.01
65,28.85415347875828,0.6857425570487976,-1.9897212982177728,-4.976429462432861,Adam,0.065,0.01
66,28.8552269022188,1.151136040687561,-1.9927622079849243,-4.974119663238525,Adam,0.066,0.01
67,28.8572774584079,1.714845061302185,-1.9935989379882808,-4.972396373748779,Adam,0.067,0.01
68,28.855394738777733,1.2031261920928955,-1.9918612241744995,-4.9723334312438965,Adam,0.068,0.01
69,28.853880603464084,0.5071818828582764,-1.9889588356018064,-4.973826408386231,Adam,0.069,0.01
70,28.855474881061216,1.2322007417678833,-1.9869816303253167,-4.975753307342529,Adam,0.07,0.01
71,28.855860620032807,1.3488855361938477,-1.987212300300598,-4.976790428161621,Adam,0.071,0.01
72,28.85414819595666,0.6830605268478394,-1.9892945289611816,-4.976317882537842,Adam,0.072,0.01
73,28.85412906918692,0.6749236583709717,-1.991613388061524,-4.974788188934326,Adam,0.073,0.01
74,28.855257152144382,1.1602404117584229,-1.9925166368484497,-4.973336219787598,Adam,0.074,0.01
75,28.854641154233903,0.924948751926422,-1.9914900064468384,-4.972949504852295,Adam,0.075,0.01
76,28.85375461525672,0.3967413902282715,-1.9894357919692995,-4.973800182342529,Adam,0.076,0.01
77,28.85439137669808,0.8138425946235657,-1.9879162311553955,-4.975189685821533,Adam,0.077,0.01
78,28.85468210123728,0.9434196949005128,-1.987979888916016,-4.976099967956543,Adam,0.078,0.01
79,28.853900300953143,0.5213679075241089,-1.989439487457276,-4.975932598114014,Adam,0.079,0.01
80,28.853845401480555,0.4802935123443603,-1.9911068677902224,-4.9749016761779785,Adam,0.08,0.01
81,28.85436413594678,0.8002682328224182,-1.991738557815552,-4.973817825317383,Adam,0.081,0.01
82,28.85406705243807,0.6352992057800293,-1.990959644317627,-4.9734625816345215,Adam,0.082,0.01
83,28.85367848963416,0.3126271963119507,-1.989475131034851,-4.974026679992676,Adam,0.083,0.01
84,28.853993957022222,0.5899418592453003,-1.9884579181671145,-4.975019931793213,Adam,0.084,0.01
85,28.85407007603531,0.6379876732826233,-1.9886316061019893,-4.975679397583008,Adam,0.085,0.01
86,28.853703347205204,0.3421035408973694,-1.9897581338882449,-4.975550174713135,Adam,0.086,0.01
87,28.853747786566608,0.3916577696800232,-1.990895390510559,-4.974798679351807,Adam,0.087,0.01
88,28.853951659037904,0.5605275630950928,-1.991171598434448,-4.974038600921631,Adam,0.088,0.01
89,28.85375414136664,0.396431028842926,-1.9904510974884035,-4.9738383293151855,Adam,0.089,0.01
90,28.85364021937556,0.2606121003627777,-1.989381432533264,-4.974298000335693,Adam,0.09,0.01
91,28.853807440524456,0.4476624131202698,-1.9888267517089844,-4.975011348724365,Adam,0.091,0.01
92,28.853763964494103,0.4066372513771057,-1.989175081253052,-4.975413799285889,Adam,0.092,0.01
93,28.85361500420868,0.2185469716787338,-1.990071058273316,-4.975225448608398,Adam,0.093,0.01
94,28.85369555007804,0.3347038030624389,-1.9907560348510744,-4.974644184112549,Adam,0.094,0.01
95,28.85373453109229,0.3773729503154754,-1.9907037019729608,-4.974154949188232,Adam,0.095,0.01
96,28.85361853878697,0.2246703207492828,-1.9900224208831787,-4.974128723144531,Adam,0.096,0.01
97,28.85362842510369,0.2424864619970321,-1.9893172979354856,-4.974544525146484,Adam,0.097,0.01
98,28.853689206214327,0.3267613053321838,-1.9891607761383057,-4.975036144256592,Adam,0.098,0.01
99,28.85362229059693,0.2314298301935196,-1.989630460739136,-4.975208759307861,Adam,0.099,0.01
100,28.853595274782023,0.180223599076271,-1.9902857542037964,-4.974954128265381,Adam,0.1,0.01
101,28.853646351112594,0.2701866328716278,-1.9905714988708496,-4.974514007568359,Adam,0.101,0.01
102,28.85361838087153,0.2248903065919876,-1.9902851581573489,-4.9742584228515625,Adam,0.102,0.01
103,28.853581226704183,0.1459347754716873,-1.989716529846192,-4.9743757247924805,Adam,0.103,0.01
104,28.85361373329086,0.2172515839338302,-1.9893654584884644,-4.974737644195557,Adam,0.104,0.01
105,28.85360886148408,0.2077640146017074,-1.989506483078003,-4.975027561187744,Adam,0.105,0.01
106,28.853575409268483,0.1291844844818115,-1.989976048469544,-4.975014686584473,Adam,0.106,0.01
