iteration,loss,grad_norm,x,y,optimizer,elapsed_seconds,test_acc
0,58.3464887041479,50.29039001464844,-1.6620832681655884,-4.532254695892334,SGD,0.0,0.01
1,58.1137205731363,51.213287353515625,-1.6666576862335205,-4.532581329345703,SGD,0.001,0.01
2,57.87673259474349,52.09183120727539,-1.6712334156036377,-4.532913684844971,SGD,0.002,0.01
3,57.635720336668754,52.92528533935547,-1.6758105754852295,-4.533251762390137,SGD,0.003,0.01
4,57.3908953329439,53.712928771972656,-1.6803890466690063,-4.533595561981201,SGD,0.004,0.01
5,57.142455925599,54.4541244506836,-1.6849689483642578,-4.5339460372924805,SGD,0.005,0.01
6,56.89062011809331,55.148216247558594,-1.6895501613616943,-4.534303188323975,SGD,0.006,0.01
7,56.6356071540801,55.79462432861328,-1.6941325664520264,-4.534667491912842,SGD,0.007,0.01
8,56.37762798275264,56.39280319213867,-1.6987162828445437,-4.535038948059082,SGD,0.008,0.01
9,56.11690490745566,56.94227981567383,-1.703301191329956,-4.535418510437012,SGD,0.009,0.01
10,55.8536603060132,57.44257736206055,-1.7078872919082642,-4.535806179046631,SGD,0.01,0.01
11,55.5881164039028,57.89330291748047,-1.7124745845794678,-4.536202430725098,SGD,0.011,0.01
12,55.32050414482239,58.29409408569336,-1.7170629501342771,-4.53660774230957,SGD,0.012,0.01
13,55.051046686214846,58.64466094970703,-1.7216523885726929,-4.537023067474365,SGD,0.013,0.01
14,54.779980536749534,58.94471740722656,-1.7262427806854248,-4.537448406219482,SGD,0.014,0.01
15,54.507534004700325,59.19406127929688,-1.7308341264724731,-4.53788423538208,SGD,0.015,0.01
16,54.23394051767717,59.39255142211914,-1.7354263067245483,-4.538331508636475,SGD,0.016,0.01
17,53.95942975109016,59.54009246826172,-1.7400193214416504,-4.538790702819824,SGD,0.017,0.01
18,53.684242944365394,59.63663482666016,-1.7446129322052002,-4.539262771606445,SGD,0.018,0.01
19,53.40860305842089,59.68220138549805,-1.7492072582244873,-4.539748191833496,SGD,0.019,0.01
20,53.13275415867265,59.67684555053711,-1.7538020610809326,-4.540247440338135,SGD,0.02,0.01
21,52.85692635327997,59.6207389831543,-1.7583972215652466,-4.540761947631836,SGD,0.021,0.01
22,52.581355029083845,59.51407241821289,-1.7629926204681396,-4.541292190551758,SGD,0.022,0.01
23,52.30626767926346,59.35713958740234,-1.7675881385803225,-4.541839599609375,SGD,0.023,0.01
24,52.03190381463896,59.1502571105957,-1.772183537483215,-4.542404651641846,SGD,0.024,0.01
25,51.75848692443152,58.89386749267578,-1.7767786979675293,-4.5429887771606445,SGD,0.025,0.01
26,51.48625531208961,58.588478088378906,-1.7813732624053955,-4.543592929840088,SGD,0.026,0.01
27,51.21542657101874,58.23466491699219,-1.7859671115875244,-4.54421854019165,SGD,0.027,0.01
28,50.94622154428163,57.83312225341797,-1.790560007095337,-4.544867038726807,SGD,0.028,0.01
29,50.67885954404513,57.38465118408203,-1.7951515913009644,-4.5455403327941895,SGD,0.029,0.01
30,50.41356546535032,56.8901481628418,-1.7997413873672483,-4.546239852905273,SGD,0.03,0.01
31,50.1505452864917,56.350582122802734,-1.8043291568756104,-4.546967029571533,SGD,0.031,0.01
32,49.890003460738654,55.7671127319336,-1.808914422988892,-4.54772424697876,SGD,0.032,0.01
33,49.63214774559586,55.141021728515625,-1.8134965896606443,-4.548513412475586,SGD,0.033,0.01
34,49.377172854785535,54.473751068115234,-1.8180750608444207,-4.549336910247803,SGD,0.034,0.01
35,49.12527027388154,53.76689529418945,-1.8226491212844849,-4.550197124481201,SGD,0.035,0.01
36,48.87662192918124,53.02230072021485,-1.827217936515808,-4.5510969161987305,SGD,0.036,0.01
37,48.63139724847933,52.241947174072266,-1.8317806720733645,-4.55203914642334,SGD,0.037,0.01
38,48.3897592749305,51.428199768066406,-1.8363361358642576,-4.553027629852295,SGD,0.038,0.01
39,48.1518651872432,50.58356094360352,-1.8408831357955933,-4.554065227508545,SGD,0.039,0.01
40,47.91784932286871,49.71095275878906,-1.845420241355896,-4.555156230926514,SGD,0.04,0.01
41,47.68783597212677,48.81364059448242,-1.8499457836151123,-4.556304931640625,SGD,0.041,0.01
42,47.46193592437393,47.89535140991211,-1.85445773601532,-4.557516098022461,SGD,0.042,0.01
43,47.240242968060976,46.96022033691406,-1.858953833580017,-4.558794498443604,SGD,0.043,0.01
44,47.02282260216072,46.01300048828125,-1.863431453704834,-4.560145854949951,SGD,0.044,0.01
45,46.809722775262905,45.05908584594727,-1.8678873777389529,-4.5615763664245605,SGD,0.045,0.01
46,46.60096418732962,44.10449600219727,-1.8723180294036863,-4.563092231750488,SGD,0.046,0.01
