iteration,loss,grad_norm,x,y,optimizer,elapsed_seconds,test_acc
0,158.87663555945286,817.0654907226562,1.5452656745910645,3.647128820419312,SGD,0.0,0.01
1,155.81380563800428,810.8084106445312,1.5488454103469849,3.6459689140319824,SGD,0.001,0.01
2,152.77438331236812,804.5014038085938,1.5524262189865112,3.644811391830444,SGD,0.002,0.01
3,149.75850021065716,798.144287109375,1.5560081005096436,3.643656015396118,SGD,0.003,0.01
4,146.76640637093809,791.7371215820312,1.5595910549163818,3.642503023147583,SGD,0.004,0.01
5,143.79823590070828,785.2794189453125,1.563175082206726,3.64135217666626,SGD,0.005,0.01
6,140.85423897349386,778.7713623046875,1.5667601823806765,3.640203714370728,SGD,0.006,0.01
7,137.93455218655592,772.2125854492188,1.5703463554382324,3.6390573978424072,SGD,0.007,0.01
8,135.03942584905587,765.6030883789062,1.5739336013793943,3.637913465499878,SGD,0.008,0.01
9,132.1689990584199,758.942626953125,1.5775219202041626,3.636771678924561,SGD,0.009,0.01
10,129.32352225962472,752.2310180664062,1.5811113119125366,3.635632276535034,SGD,0.01,0.01
11,126.50313706068414,745.4680786132812,1.5847017765045166,3.63449501991272,SGD,0.011,0.01
12,123.7079571028081,738.6534423828125,1.588293433189392,3.633359909057617,SGD,0.012,0.01
13,120.9382661801259,731.7871704101562,1.5918861627578735,3.632226943969727,SGD,0.013,0.01
14,118.19431503251522,724.8692016601562,1.595479965209961,3.631096363067627,SGD,0.014,0.01
15,115.4762503434263,717.8992919921875,1.5990748405456543,3.6299679279327393,SGD,0.015,0.01
16,112.7842724307315,710.8773193359375,1.6026707887649536,3.628841638565064,SGD,0.016,0.01
17,110.118582286539,703.802978515625,1.6062678098678589,3.6277174949646,SGD,0.017,0.01
18,107.47930227839365,696.6760864257812,1.6098660230636597,3.626595497131348,SGD,0.018,0.01
19,104.86671565499212,689.49658203125,1.6134653091430664,3.625475645065308,SGD,0.019,0.01
20,102.2810254584678,682.2642822265625,1.617065668106079,3.62435793876648,SGD,0.02,0.01
21,99.72238788522252,674.97900390625,1.6206670999526978,3.623242139816284,SGD,0.021,0.01
22,97.19105608458464,667.640625,1.6242696046829224,3.622128486633301,SGD,0.022,0.01
23,94.68715991990312,660.2488403320312,1.6278733015060425,3.621016979217529,SGD,0.023,0.01
24,92.21098205847002,652.8036499023438,1.6314780712127686,3.6199076175689697,SGD,0.024,0.01
25,89.7627289778432,645.304931640625,1.6350839138031006,3.618800401687622,SGD,0.025,0.01
26,87.34256338241734,637.7523803710938,1.6386908292770386,3.6176950931549072,SGD,0.026,0.01
27,84.95066696848328,630.1458129882812,1.642298936843872,3.616591930389404,SGD,0.027,0.01
28,82.58727862744216,622.4849853515625,1.6459081172943115,3.615490674972534,SGD,0.028,0.01
29,80.25265207846623,614.7700805664062,1.649518370628357,3.614391565322876,SGD,0.029,0.01
30,77.94695528964593,607.0006713867188,1.6531296968460083,3.6132943630218506,SGD,0.03,0.01
31,75.67037376602244,599.1765747070312,1.6567422151565552,3.612199306488037,SGD,0.031,0.01
32,73.4231482558277,591.2976684570312,1.660355806350708,3.611106157302856,SGD,0.032,0.01
33,71.20553280628336,583.3639526367188,1.6639704704284668,3.610015153884888,SGD,0.033,0.01
34,69.01763500554334,575.3748779296875,1.667586326599121,3.608926057815552,SGD,0.034,0.01
35,66.85973769815966,567.33056640625,1.6712032556533811,3.6078388690948486,SGD,0.035,0.01
36,64.73203131886667,559.2307739257812,1.674821376800537,3.606753826141357,SGD,0.036,0.01
37,62.63475886663064,551.0753173828125,1.6784405708312988,3.605670690536499,SGD,0.037,0.01
38,60.56813785047743,542.8640747070312,1.6820608377456665,3.6045894622802734,SGD,0.038,0.01
39,58.532325407439046,534.5968017578125,1.6856822967529297,3.6035101413726807,SGD,0.039,0.01
40,56.52760343946576,526.2733154296875,1.6893048286437988,3.6024327278137207,SGD,0.04,0.01
41,54.55413242201481,517.8933715820312,1.6929285526275637,3.6013572216033936,SGD,0.041,0.01
42,52.61219384854637,509.4570617675781,1.696553349494934,3.600283622741699,SGD,0.042,0.01
43,50.70195156618378,500.9639587402344,1.7001793384552002,3.5992119312286377,SGD,0.043,0.01
44,48.82368663849852,492.4140930175781,1.7038064002990725,3.598142147064209,SGD,0.044,0.01
45,46.97756631768595,483.80706787109375,1.7074346542358398,3.597074270248413,SGD,0.045,0.01
46,45.16387121589484,475.1429748535156,1.7110639810562134,3.59600830078125,SGD,0.046,0.01
47,43.38274080224546,466.4212951660156,1.7146944999694824,3.5949440002441406,SGD,0.047,0.01
48,41.634487727796106,457.6421508789063,1.7183260917663574,3.593881607055664,SGD,0.048,0.01
49,39.91928615985347,448.8052673339844,1.721958875656128,3.5928211212158203,SGD,0.049,0.01
50,38.2374157465899,439.9106750488281,1.7255927324295044,3.5917625427246094,SGD,0.05,0.01
51,36.58902552866842,430.957763671875,1.7292277812957764,3.590705633163452,SGD,0.051,0.01
52,34.97442457150954,421.9468383789063,1.7328639030456543,3.589650630950928,SGD,0.052,0.01
53,33.39376676281412,412.8772277832031,1.7365012168884275,3.588597297668457,SGD,0.053,0.01
54,31.847359336002427,403.7493286132813,1.7401396036148071,3.587545871734619,SGD,0.054,0.01
55,30.335361065564687,394.5623779296875,1.743779182434082,3.586496114730835,SGD,0.055,0.01
56,28.85800781129264,385.31634521484375,1.7474199533462524,3.5854480266571045,SGD,0.056,0.01
57,27.415604019365944,376.0114135742188,1.7510617971420288,3.584401845932007,SGD,0.057,0.01
58,26.008315882269187,366.6470336914063,1.754704833030701,3.583357334136963,SGD,0.058,0.01
59,24.63642255469276,357.2232666015625,1.7583489418029783,3.5823144912719727,SGD,0.059,0.01
60,23.300119929327163,347.7396850585937,1.761994242668152,3.581273317337036,SGD,0.06,0.01
61,21.999686559858148,338.1964111328125,1.7656406164169312,3.5802338123321533,SGD,0.061,0.01
62,20.73532205169717,328.593017578125,1.769288182258606,3.579195976257324,SGD,0.062,0.01
63,19.50726775636584,318.9292907714844,1.7729369401931765,3.578159809112549,SGD,0.063,0.01
64,18.315801294281574,309.2053527832031,1.7765867710113523,3.577125310897827,SGD,0.064,0.01
65,17.161127916857396,299.4207763671875,1.7802377939224243,3.576092481613159,SGD,0.065,0.01
66,16.04350585637372,289.5754699707031,1.783889889717102,3.575061082839966,SGD,0.066,0.01
67,14.96316423778177,279.669189453125,1.7875431776046753,3.574031352996826,SGD,0.067,0.01
68,13.92034839297449,269.70172119140625,1.791197657585144,3.57300329208374,SGD,0.068,0.01
69,12.91531755691539,259.6730651855469,1.7948532104492188,3.571976661682129,SGD,0.069,0.01
70,11.948288591876551,249.5826873779297,1.798509955406189,3.570951461791992,SGD,0.07,0.01
71,11.019538763539131,239.4307556152344,1.8021677732467647,3.56992769241333,SGD,0.071,0.01
72,10.129303522952316,229.21701049804688,1.8058267831802368,3.5689055919647217,SGD,0.072,0.01
73,9.277829370163063,218.941162109375,1.8094868659973145,3.567884683609009,SGD,0.073,0.01
74,8.46538033663689,208.603256225586,1.813148021697998,3.5668652057647705,SGD,0.074,0.01
75,7.692183109082213,198.20281982421875,1.8168103694915767,3.565847158432007,SGD,0.075,0.01
76,6.958501135945787,187.7397918701172,1.8204737901687624,3.5648303031921387,SGD,0.076,0.01
77,6.264587517736397,177.2140350341797,1.8241382837295528,3.563814640045166,SGD,0.077,0.01
78,5.610696149910472,166.62533569335938,1.8278038501739504,3.562800168991089,SGD,0.078,0.01
79,4.997081724366661,155.97357177734375,1.831470489501953,3.5617868900299072,SGD,0.079,0.01
80,4.423990525960121,145.2583465576172,1.835138201713562,3.560774564743042,SGD,0.08,0.01
81,3.8916963724639935,134.4798583984375,1.8388068675994875,3.559763193130493,SGD,0.081,0.01
82,3.4004468778833505,123.63773345947266,1.842476487159729,3.5587525367736816,SGD,0.082,0.01
83,2.950493196089249,112.73162841796876,1.846147060394287,3.5577423572540283,SGD,0.083,0.01
84,2.542101733128096,101.76155090332033,1.849818468093872,3.556732416152954,SGD,0.084,0.01
85,2.175532700068462,90.72732543945312,1.853490710258484,3.555722713470459,SGD,0.085,0.01
