iteration,loss,grad_norm,x,y,optimizer,elapsed_seconds,test_acc
0,4585.5712890625,3.40368914604187,-2.912322521209717,2.065272092819214,Adam_NoBeta2,0.0,0.01
1,4132.26123046875,3.3917758464813232,-2.862327814102173,2.115288019180298,Adam_NoBeta2,0.001,0.01
2,3708.6796875,3.3811681270599365,-2.8123412132263184,2.1653313636779785,Adam_NoBeta2,0.002,0.01
3,3313.80908203125,3.37188720703125,-2.7623651027679443,2.21541428565979,Adam_NoBeta2,0.003,0.01
4,2946.645263671875,3.36395525932312,-2.712401390075684,2.265549898147583,Adam_NoBeta2,0.004,0.01
5,2606.192138671875,3.357391595840454,-2.662451267242432,2.315751791000366,Adam_NoBeta2,0.005,0.01
6,2291.466064453125,3.352214813232422,-2.612515449523926,2.3660342693328857,Adam_NoBeta2,0.006,0.01
7,2001.4991455078125,3.3484442234039307,-2.562593936920166,2.416412591934204,Adam_NoBeta2,0.007,0.01
8,1735.336669921875,3.3460958003997803,-2.512686491012573,2.466902494430542,Adam_NoBeta2,0.008,0.01
9,1492.0419921875,3.3451876640319824,-2.462791919708252,2.5175206661224365,Adam_NoBeta2,0.009,0.01
10,1270.6959228515625,3.345733880996704,-2.4129085540771484,2.568284273147583,Adam_NoBeta2,0.01,0.01
11,1070.397705078125,3.3477511405944824,-2.363034248352051,2.619210958480835,Adam_NoBeta2,0.011,0.01
12,890.2664794921875,3.3512513637542725,-2.313166379928589,2.6703193187713623,Adam_NoBeta2,0.012,0.01
13,729.4417724609375,3.356250047683716,-2.263301372528076,2.7216286659240723,Adam_NoBeta2,0.013,0.01
14,587.0834350585938,3.362758159637451,-2.213435411453247,2.773158311843872,Adam_NoBeta2,0.014,0.01
15,462.3724365234375,3.3707871437072754,-2.163564443588257,2.8249285221099854,Adam_NoBeta2,0.015,0.01
16,354.5124206542969,3.3803493976593018,-2.113683223724365,2.876960039138794,Adam_NoBeta2,0.016,0.01
17,262.7265930175781,3.3914544582366943,-2.063786745071411,2.92927360534668,Adam_NoBeta2,0.017,0.01
18,186.2614288330078,3.40411114692688,-2.013869285583496,2.9818899631500244,Adam_NoBeta2,0.018,0.01
19,124.38360595703124,3.4183285236358643,-1.963924527168274,3.03482985496521,Adam_NoBeta2,0.019,0.01
20,76.38116455078125,3.434114456176758,-1.91394591331482,3.0881121158599854,Adam_NoBeta2,0.02,0.01
21,41.56241607666016,3.451472759246826,-1.8639261722564693,3.141752243041992,Adam_NoBeta2,0.021,0.01
22,19.255603790283203,3.470404624938965,-1.8138567209243768,3.1957504749298096,Adam_NoBeta2,0.022,0.01
23,8.807524681091309,3.490897417068481,-1.7637189626693726,3.249971628189087,Adam_NoBeta2,0.023,0.01
24,9.577672004699709,3.512819290161133,-1.7244839668273926,3.289863586425781,Adam_NoBeta2,0.024,0.01
25,17.409587860107422,3.5287156105041504,-1.694926619529724,3.3175747394561768,Adam_NoBeta2,0.025,0.01
26,27.04719924926757,3.5391902923583984,-1.6739535331726074,3.334726333618164,Adam_NoBeta2,0.026,0.01
27,35.516929626464844,3.544724702835083,-1.660598874092102,3.342705011367798,Adam_NoBeta2,0.027,0.01
