iteration,loss,grad_norm,x,y,optimizer,elapsed_seconds,test_acc
0,508.6884460449219,2.2900612354278564,-0.3571501076221466,2.3732759952545166,SAM_SGD,0.0,0.01
1,506.1676330566406,2.2868576049804688,-0.3597647547721863,2.369523286819458,SAM_SGD,0.001,0.01
2,503.6504211425781,2.28367280960083,-0.3623887300491333,2.365784883499145,SAM_SGD,0.002,0.01
3,501.1369934082031,2.2805063724517822,-0.3650219440460205,2.362060785293579,SAM_SGD,0.003,0.01
4,498.6270751953125,2.277357816696167,-0.3676643073558807,2.358350992202759,SAM_SGD,0.004,0.01
5,496.1207275390625,2.27422833442688,-0.3703157901763916,2.354655265808105,SAM_SGD,0.005,0.01
6,493.617919921875,2.2711174488067627,-0.3729763329029083,2.3509738445281982,SAM_SGD,0.006,0.01
7,491.11865234375,2.2680251598358154,-0.3756458461284637,2.347306489944458,SAM_SGD,0.007,0.01
8,488.6228332519531,2.264951467514038,-0.3783242702484131,2.3436532020568848,SAM_SGD,0.008,0.01
9,486.13031005859375,2.261896133422852,-0.3810115456581116,2.3400139808654785,SAM_SGD,0.009,0.01
10,483.6413269042969,2.258859157562256,-0.3837076127529144,2.33638882637024,SAM_SGD,0.01,0.01
11,481.1555786132813,2.255841016769409,-0.3864124119281769,2.332777738571167,SAM_SGD,0.011,0.01
12,478.6732482910156,2.2528412342071533,-0.3891258835792541,2.3291807174682617,SAM_SGD,0.012,0.01
13,476.19427490234375,2.2498602867126465,-0.3918479382991791,2.3255977630615234,SAM_SGD,0.013,0.01
14,473.7185974121094,2.246898412704468,-0.3945785462856293,2.322028636932373,SAM_SGD,0.014,0.01
15,471.2461853027344,2.2439544200897217,-0.3973176181316376,2.3184735774993896,SAM_SGD,0.015,0.01
16,468.7770690917969,2.241029500961304,-0.4000650942325592,2.314932346343994,SAM_SGD,0.016,0.01
17,466.3110656738281,2.238122940063477,-0.4028209149837494,2.3114049434661865,SAM_SGD,0.017,0.01
18,463.8483276367188,2.2352356910705566,-0.4055849909782409,2.307891368865967,SAM_SGD,0.018,0.01
19,461.3886413574219,2.2323663234710693,-0.4083572924137115,2.304391622543335,SAM_SGD,0.019,0.01
20,458.9322204589844,2.229515790939331,-0.4111377298831939,2.300905704498291,SAM_SGD,0.02,0.01
21,456.4789123535156,2.226684093475342,-0.4139262437820434,2.297433376312256,SAM_SGD,0.021,0.01
22,454.0285949707031,2.223870754241944,-0.4167227745056152,2.2939748764038086,SAM_SGD,0.022,0.01
23,451.58154296875,2.221076488494873,-0.4195272624492645,2.29052996635437,SAM_SGD,0.023,0.01
24,449.1373901367188,2.2183003425598145,-0.4223396480083465,2.2870986461639404,SAM_SGD,0.024,0.01
25,446.6963806152344,2.215543270111084,-0.4251598417758941,2.2836809158325195,SAM_SGD,0.025,0.01
26,444.2583312988281,2.212804317474365,-0.4279877841472626,2.2802767753601074,SAM_SGD,0.026,0.01
27,441.82330322265625,2.2100844383239746,-0.430823415517807,2.276885986328125,SAM_SGD,0.027,0.01
28,439.3912353515625,2.207382678985596,-0.4336666762828827,2.273508787155152,SAM_SGD,0.028,0.01
