epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.5612073586146036,42.403333333333336,1.093325556755066,63.1,63.1,Unknown,1
2,0.9544109215736388,67.54833333333333,0.6381848479270935,81.56,81.56,Unknown,2
3,0.5719508931159973,82.34666666666666,0.432667751789093,86.69,86.69,Unknown,3
4,0.4144970204830169,87.28833333333333,0.3218469050884247,90.33,90.33,Unknown,4
5,0.3351280015945435,89.785,0.280097396492958,91.5,91.5,Unknown,5
6,0.2918777414798736,91.08666666666667,0.2497794614553451,92.62,92.62,Unknown,6
7,0.2700186671257019,91.81,0.2362339152097702,92.78,92.78,Unknown,7
8,0.257221507914861,92.16166666666666,0.2269122088432312,93.17,93.17,Unknown,8
9,0.2496303829669952,92.51166666666668,0.2191956795930862,93.33,93.33,Unknown,9
10,0.2437096171935399,92.73166666666668,0.2193888308644294,93.42,93.42,Unknown,10
