epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.7479046058654786,43.69166666666667,1.365469116592407,67.79,16.52,Unknown,1
2,1.2360497957229617,73.12166666666667,1.0768253458976746,81.77,20.83,Unknown,2
3,1.016572803815206,83.65833333333333,0.9175544367790224,88.44,21.46,Unknown,3
4,0.9099541072209676,88.39,0.8553500539779663,91.22,23.89,Unknown,4
5,0.8532876799583435,90.75333333333332,0.8118104419708252,92.6,26.06,Unknown,5
6,0.8267065863927205,91.765,0.797422527885437,93.15,27.53,Unknown,6
7,0.8076715065002441,92.45166666666668,0.7842219453811645,93.52,28.75,Unknown,7
8,0.7948767316182455,92.87,0.7753418798446655,93.59,30.19,Unknown,8
9,0.787190152422587,93.10666666666668,0.7703453577041626,93.88,33.36,Unknown,9
10,0.7832683303833008,93.175,0.7701866058349609,93.9,37.41,Unknown,10
