epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.4575033469518026,47.72666666666667,0.8719755470275878,70.6,70.6,Unknown,1
2,0.7269584940751393,76.22166666666666,0.5162089903354645,83.09,83.09,Unknown,2
3,0.488750539000829,84.64,0.4012847105026245,86.25,86.25,Unknown,3
4,0.3698054411411285,88.60333333333334,0.2972289886474609,91.09,91.09,Unknown,4
5,0.2958371174812317,91.13333333333334,0.2819317625522614,91.15,91.15,Unknown,5
6,0.2543099578698476,92.29666666666668,0.226763023519516,93.01,93.01,Unknown,6
7,0.2291724235773086,93.15166666666669,0.2031335399270057,93.85,93.85,Unknown,7
8,0.2091562845706939,93.665,0.2009266805410385,94.05,94.05,Unknown,8
9,0.2008724554379781,94.03166666666668,0.1860347551345825,94.42,94.42,Unknown,9
10,0.1957005318959554,94.07666666666668,0.1824704619884491,94.6,94.6,Unknown,10
