iteration,loss,grad_norm,x,y,optimizer,elapsed_seconds,test_acc
0,909.0,2.1314902305603027,-1.950000047683716,1.0499999523162842,SAM_Adam_start5,0.0,0.01
1,794.4529541015625,2.1150604724884032,-1.9000770807266236,1.1001080751419068,SAM_Adam_start5,0.001,0.01
2,679.905908203125,2.0986307144165037,-1.8501541137695314,1.1502161979675294,SAM_Adam_start5,0.002,0.01
3,565.3588623046875,2.0822009563446047,-1.800231146812439,1.2003243207931518,SAM_Adam_start5,0.003,0.01
4,450.81181640625,2.065771198272705,-1.7503081798553468,1.2504324436187744,SAM_Adam_start5,0.004,0.01
5,336.2647705078125,2.0493414402008057,-1.7003852128982544,1.300540566444397,SAM_Adam_start5,0.005,0.01
6,281.5641548156738,2.0439391136169434,-1.650676441192627,1.3511600494384766,SAM_Adam_start5,0.006,0.01
7,226.86353912353516,2.038536787033081,-1.6009676694869994,1.4017795324325562,SAM_Adam_start5,0.007,0.01
8,172.1629234313965,2.0331344604492188,-1.5512588977813722,1.4523990154266357,SAM_Adam_start5,0.008,0.01
9,117.46230773925782,2.0277321338653564,-1.5015501260757447,1.5030184984207153,SAM_Adam_start5,0.009000000000000001,0.01
10,62.76169204711914,2.022329807281494,-1.4518413543701172,1.553637981414795,SAM_Adam_start5,0.01,0.01
11,51.619207572937015,2.026096534729004,-1.4090327262878417,1.594686460494995,SAM_Adam_start5,0.011,0.01
12,40.47672309875488,2.0298632621765136,-1.3662240982055665,1.6357349395751952,SAM_Adam_start5,0.012,0.01
13,29.334238624572748,2.0336299896240235,-1.323415470123291,1.6767834186553956,SAM_Adam_start5,0.013,0.01
14,18.191754150390622,2.037396717071533,-1.2806068420410157,1.7178318977355957,SAM_Adam_start5,0.013999999999999999,0.01
15,7.049269676208496,2.041163444519043,-1.2377982139587402,1.758880376815796,SAM_Adam_start5,0.015,0.01
16,8.353922080993652,2.036813163757324,-1.2331132173538208,1.7541251182556152,SAM_Adam_start5,0.016,0.01
17,9.658574485778807,2.0324628829956053,-1.2284282207489015,1.7493698596954346,SAM_Adam_start5,0.017,0.01
18,10.963226890563964,2.028112602233887,-1.2237432241439818,1.744614601135254,SAM_Adam_start5,0.018000000000000002,0.01
19,12.26787929534912,2.023762321472168,-1.2190582275390625,1.7398593425750732,SAM_Adam_start5,0.019,0.01
20,13.572531700134276,2.019412040710449,-1.214373230934143,1.7351040840148926,SAM_Adam_start5,0.02,0.01
21,11.907661151885986,2.010324907302856,-1.23113694190979,1.7091944694519043,SAM_Adam_start5,0.021,0.01
22,10.242790603637694,2.0012377738952636,-1.247900652885437,1.683284854888916,SAM_Adam_start5,0.022000000000000002,0.01
23,8.577920055389404,1.9921506404876705,-1.264664363861084,1.6573752403259276,SAM_Adam_start5,0.023,0.01
24,6.913049507141113,1.9830635070800777,-1.281428074836731,1.6314656257629394,SAM_Adam_start5,0.024,0.01
25,5.248178958892822,1.973976373672485,-1.298191785812378,1.6055560111999512,SAM_Adam_start5,0.025,0.01
26,5.469384479522705,1.9680857658386226,-1.295574927330017,1.6015710353851318,SAM_Adam_start5,0.026000000000000002,0.01
27,5.6905900001525875,1.9621951580047603,-1.292958068847656,1.5975860595703124,SAM_Adam_start5,0.027,0.01
28,5.911795520782471,1.9563045501708982,-1.2903412103652954,1.5936010837554933,SAM_Adam_start5,0.028,0.01
29,6.133001041412354,1.950413942337036,-1.2877243518829344,1.5896161079406739,SAM_Adam_start5,0.028999999999999998,0.01
30,6.354206562042236,1.9445233345031736,-1.2851074934005735,1.5856311321258545,SAM_Adam_start5,0.03,0.01
31,6.2879735946655275,1.941433262825012,-1.2740916490554808,1.5909515380859376,SAM_Adam_start5,0.031,0.01
32,6.221740627288819,1.9383431911468503,-1.263075804710388,1.5962719440460205,SAM_Adam_start5,0.032,0.01
33,6.155507659912109,1.9352531194686886,-1.2520599603652955,1.6015923500061036,SAM_Adam_start5,0.033,0.01
34,6.0892746925354,1.932163047790527,-1.2410441160202028,1.6069127559661864,SAM_Adam_start5,0.034,0.01
35,6.023041725158691,1.9290729761123653,-1.23002827167511,1.6122331619262695,SAM_Adam_start5,0.035,0.01
36,5.863430118560791,1.9240380048751828,-1.2361327171325684,1.5989924907684325,SAM_Adam_start5,0.036000000000000004,0.01
37,5.703818511962891,1.9190030336380004,-1.242237162590027,1.5857518196105957,SAM_Adam_start5,0.037000000000000005,0.01
38,5.54420690536499,1.9139680624008177,-1.2483416080474854,1.5725111484527587,SAM_Adam_start5,0.038,0.01
39,5.38459529876709,1.9089330911636353,-1.254446053504944,1.559270477294922,SAM_Adam_start5,0.039,0.01
40,5.2249836921691895,1.9038981199264529,-1.2605504989624023,1.546029806137085,SAM_Adam_start5,0.04,0.01
41,5.213631629943848,1.8987388610839846,-1.2536041736602783,1.546054196357727,SAM_Adam_start5,0.041,0.01
42,5.202279567718506,1.8935796022415166,-1.2466578483581543,1.546078586578369,SAM_Adam_start5,0.042,0.01
43,5.190927505493164,1.8884203433990483,-1.2397115230560303,1.5461029767990113,SAM_Adam_start5,0.043,0.01
44,5.179575443267822,1.8832610845565803,-1.2327651977539062,1.5461273670196534,SAM_Adam_start5,0.044,0.01
45,5.1682233810424805,1.878101825714112,-1.2258188724517822,1.5461517572402954,SAM_Adam_start5,0.045,0.01
46,5.14219970703125,1.8729330778121953,-1.2260804891586303,1.537614107131958,SAM_Adam_start5,0.046,0.01
