file,convergence_rate,convergence_rate_type,converged_epoch,converged_basis,final_loss,stagnation_detected,optimizer,seed
MNIST_SimpleMLP_AdamW_seed1011.csv,0.4075311257870538,fallback_log_slope,3,practical_90pct,0.09608674925302,False,AdamW,1011
MNIST_SimpleMLP_AdamW_seed1213.csv,0.0926479176733428,fallback_log_slope,3,practical_90pct,0.1858590238180597,False,AdamW,1213
MNIST_SimpleMLP_AdamW_seed123.csv,0.4160705438300871,fallback_log_slope,3,practical_90pct,0.1166148190420668,False,AdamW,123
MNIST_SimpleMLP_AdamW_seed1415.csv,0.1060159479615581,fallback_log_slope,3,practical_90pct,0.2061889979424264,False,AdamW,1415
MNIST_SimpleMLP_AdamW_seed1617.csv,0.0961379984882492,fallback_log_slope,3,practical_90pct,0.1891299929632721,False,AdamW,1617
MNIST_SimpleMLP_AdamW_seed42.csv,0.4471240725659399,fallback_log_slope,3,practical_90pct,0.0944932512599585,False,AdamW,42
MNIST_SimpleMLP_AdamW_seed456.csv,0.1284844934233924,fallback_log_slope,2,practical_90pct,0.1730032479214713,False,AdamW,456
MNIST_SimpleMLP_AdamW_seed789.csv,0.2684452268443301,fallback_log_slope,3,practical_90pct,0.1459295925406039,False,AdamW,789
MNIST_SimpleMLP_Adam_seed1011.csv,0.1323275507924056,fallback_log_slope,2,practical_90pct,0.2568212458207266,False,Adam,1011
MNIST_SimpleMLP_Adam_seed1213.csv,0.1347907980000005,fallback_log_slope,3,practical_90pct,0.2616328690729099,False,Adam,1213
MNIST_SimpleMLP_Adam_seed123.csv,0.1201708809010334,fallback_log_slope,2,practical_90pct,0.249083597983714,False,Adam,123
MNIST_SimpleMLP_Adam_seed1415.csv,0.1231432299282875,fallback_log_slope,3,practical_90pct,0.2531869246031667,False,Adam,1415
MNIST_SimpleMLP_Adam_seed1617.csv,0.1272266346531581,fallback_log_slope,3,practical_90pct,0.2702334803212929,False,Adam,1617
MNIST_SimpleMLP_Adam_seed1819.csv,0.1032755086425726,fallback_log_slope,2,practical_90pct,0.2609032323986643,False,Adam,1819
MNIST_SimpleMLP_Adam_seed2021.csv,0.6460313129804686,fallback_log_slope,2,practical_90pct,0.1382662786098626,False,Adam,2021
MNIST_SimpleMLP_Adam_seed42.csv,0.124383410564429,fallback_log_slope,2,practical_90pct,0.262954987106116,False,Adam,42
MNIST_SimpleMLP_Adam_seed456.csv,0.0900174386682211,fallback_log_slope,2,practical_90pct,0.2567700836909503,False,Adam,456
MNIST_SimpleMLP_Adam_seed789.csv,0.1305115481104343,fallback_log_slope,2,practical_90pct,0.2418968423363492,False,Adam,789
MNIST_SimpleMLP_SGD_Momentum_seed1011.csv,0.3623128819717002,fallback_log_slope,8,practical_90pct,0.0577084642904129,False,SGD_Momentum,1011
MNIST_SimpleMLP_SGD_Momentum_seed1213.csv,0.0480277159635537,fallback_log_slope,5,practical_90pct,0.0623535540204862,False,SGD_Momentum,1213
MNIST_SimpleMLP_SGD_Momentum_seed123.csv,0.019455574176287,linear,7,practical_90pct,0.0640088028865509,False,SGD_Momentum,123
MNIST_SimpleMLP_SGD_Momentum_seed1415.csv,0.2286218693589982,fallback_log_slope,26,practical_90pct,0.063615435167091,False,SGD_Momentum,1415
MNIST_SimpleMLP_SGD_Momentum_seed1617.csv,0.0283638503235497,linear,7,practical_90pct,0.0625591013702294,False,SGD_Momentum,1617
MNIST_SimpleMLP_SGD_Momentum_seed1819.csv,0.407337766308339,fallback_log_slope,19,practical_90pct,0.060396110866626,False,SGD_Momentum,1819
MNIST_SimpleMLP_SGD_Momentum_seed2021.csv,0.0278161215385512,linear,5,practical_90pct,0.0622879099595063,False,SGD_Momentum,2021
MNIST_SimpleMLP_SGD_Momentum_seed42.csv,0.3834424633278113,fallback_log_slope,20,practical_90pct,0.0603019845367743,False,SGD_Momentum,42
MNIST_SimpleMLP_SGD_Momentum_seed456.csv,0.3590237331638907,fallback_log_slope,20,practical_90pct,0.0641539410108301,False,SGD_Momentum,456
MNIST_SimpleMLP_SGD_Momentum_seed789.csv,0.0172123961280945,linear,5,practical_90pct,0.0649224392400298,False,SGD_Momentum,789
MNIST_SimpleMLP_SGD_seed1011.csv,0.0240135935492567,linear,10,practical_90pct,0.0588723644738555,False,SGD,1011
MNIST_SimpleMLP_SGD_seed1213.csv,0.0318226484977142,linear,9,practical_90pct,0.0596603035901122,False,SGD,1213
MNIST_SimpleMLP_SGD_seed123.csv,0.0270347608091721,linear,8,practical_90pct,0.0597324982546881,False,SGD,123
MNIST_SimpleMLP_SGD_seed1415.csv,0.0112626997742533,linear,11,practical_90pct,0.0651195768776786,False,SGD,1415
MNIST_SimpleMLP_SGD_seed1617.csv,0.0239742540181118,linear,9,practical_90pct,0.0636439967164261,False,SGD,1617
MNIST_SimpleMLP_SGD_seed1819.csv,0.2478713798594597,fallback_log_slope,10,practical_90pct,0.0610278014296627,False,SGD,1819
MNIST_SimpleMLP_SGD_seed2021.csv,0.0209424177039724,linear,9,practical_90pct,0.0646040258318321,False,SGD,2021
MNIST_SimpleMLP_SGD_seed42.csv,0.0115225073635475,linear,10,practical_90pct,0.062997868631987,False,SGD,42
MNIST_SimpleMLP_SGD_seed456.csv,0.1029084627858769,fallback_log_slope,42,practical_90pct,0.0625984992494304,False,SGD,456
MNIST_SimpleMLP_SGD_seed789.csv,0.0398450373197349,linear,8,practical_90pct,0.0623291233579165,False,SGD,789
Robustness_Rosenbrock_Adam_start0_seed1011.csv,0.0330427691347738,linear,422,strict,9.942597534973174e-05,False,Adam,1011
Robustness_Rosenbrock_Adam_start0_seed1213.csv,0.0330427691347738,linear,422,strict,9.942597534973174e-05,False,Adam,1213
Robustness_Rosenbrock_Adam_start0_seed123.csv,0.0330427691347738,linear,422,strict,9.942597534973174e-05,False,Adam,123
Robustness_Rosenbrock_Adam_start0_seed1415.csv,0.0330427691347738,linear,422,strict,9.942597534973174e-05,False,Adam,1415
Robustness_Rosenbrock_Adam_start0_seed1617.csv,0.0330427691347738,linear,422,strict,9.942597534973174e-05,False,Adam,1617
Robustness_Rosenbrock_Adam_start0_seed1819.csv,0.0330427691347738,linear,422,strict,9.942597534973174e-05,False,Adam,1819
Robustness_Rosenbrock_Adam_start0_seed2021.csv,0.0330427691347738,linear,422,strict,9.942597534973174e-05,False,Adam,2021
Robustness_Rosenbrock_Adam_start0_seed42.csv,0.0330427691347738,linear,422,strict,9.942597534973174e-05,False,Adam,42
Robustness_Rosenbrock_Adam_start0_seed456.csv,0.0330427691347738,linear,422,strict,9.942597534973174e-05,False,Adam,456
Robustness_Rosenbrock_Adam_start0_seed789.csv,0.0330427691347738,linear,422,strict,9.942597534973174e-05,False,Adam,789
Robustness_Rosenbrock_Adam_start1_seed1011.csv,0.020140119811131,linear,557,strict,9.858705016085878e-05,False,Adam,1011
Robustness_Rosenbrock_Adam_start1_seed1213.csv,0.020140119811131,linear,557,strict,9.858705016085878e-05,False,Adam,1213
Robustness_Rosenbrock_Adam_start1_seed123.csv,0.020140119811131,linear,557,strict,9.858705016085878e-05,False,Adam,123
Robustness_Rosenbrock_Adam_start1_seed1415.csv,0.020140119811131,linear,557,strict,9.858705016085878e-05,False,Adam,1415
Robustness_Rosenbrock_Adam_start1_seed1617.csv,0.020140119811131,linear,557,strict,9.858705016085878e-05,False,Adam,1617
Robustness_Rosenbrock_Adam_start1_seed1819.csv,0.020140119811131,linear,557,strict,9.858705016085878e-05,False,Adam,1819
Robustness_Rosenbrock_Adam_start1_seed2021.csv,0.020140119811131,linear,557,strict,9.858705016085878e-05,False,Adam,2021
Robustness_Rosenbrock_Adam_start1_seed42.csv,0.020140119811131,linear,557,strict,9.858705016085878e-05,False,Adam,42
Robustness_Rosenbrock_Adam_start1_seed456.csv,0.020140119811131,linear,557,strict,9.858705016085878e-05,False,Adam,456
Robustness_Rosenbrock_Adam_start1_seed789.csv,0.020140119811131,linear,557,strict,9.858705016085878e-05,False,Adam,789
Robustness_Rosenbrock_Adam_start2_seed1011.csv,0.0285448536310737,linear,358,strict,9.824554581427948e-05,False,Adam,1011
Robustness_Rosenbrock_Adam_start2_seed1213.csv,0.0285448536310737,linear,358,strict,9.824554581427948e-05,False,Adam,1213
Robustness_Rosenbrock_Adam_start2_seed123.csv,0.0285448536310737,linear,358,strict,9.824554581427948e-05,False,Adam,123
Robustness_Rosenbrock_Adam_start2_seed1415.csv,0.0285448536310737,linear,358,strict,9.824554581427948e-05,False,Adam,1415
Robustness_Rosenbrock_Adam_start2_seed1617.csv,0.0285448536310737,linear,358,strict,9.824554581427948e-05,False,Adam,1617
Robustness_Rosenbrock_Adam_start2_seed1819.csv,0.0285448536310737,linear,358,strict,9.824554581427948e-05,False,Adam,1819
Robustness_Rosenbrock_Adam_start2_seed2021.csv,0.0285448536310737,linear,358,strict,9.824554581427948e-05,False,Adam,2021
Robustness_Rosenbrock_Adam_start2_seed42.csv,0.0285448536310737,linear,358,strict,9.824554581427948e-05,False,Adam,42
Robustness_Rosenbrock_Adam_start2_seed456.csv,0.0285448536310737,linear,358,strict,9.824554581427948e-05,False,Adam,456
Robustness_Rosenbrock_Adam_start2_seed789.csv,0.0285448536310737,linear,358,strict,9.824554581427948e-05,False,Adam,789
