dataset,optimizer,batch_size,seed,base_lr,scaled_lr,final_loss,final_test_acc
MNIST,SGD,32,42,0.01,0.00125,0.1142855163691764,96.46
MNIST,SAM,32,42,0.01,0.00125,0.1182166305514079,96.57
MNIST,SGD,256,42,0.01,0.01,0.1223115829212405,96.26
MNIST,SAM,256,42,0.01,0.01,0.1172206135404901,96.63
MNIST,SGD,512,42,0.01,0.02,0.1242971321884191,96.47
MNIST,SAM,512,42,0.01,0.02,0.1157233499271689,96.51
MNIST,SGD,32,123,0.01,0.00125,0.1176905866193152,96.41
MNIST,SAM,32,123,0.01,0.00125,0.1182480582347254,96.62
MNIST,SGD,256,123,0.01,0.01,0.1152830366839729,96.53
MNIST,SAM,256,123,0.01,0.01,0.1157633484257341,96.49
MNIST,SGD,512,123,0.01,0.02,0.1220423466051524,96.51
MNIST,SAM,512,123,0.01,0.02,0.1176726938278045,96.46
MNIST,SGD,32,456,0.01,0.00125,0.1143942975228921,96.65
MNIST,SAM,32,456,0.01,0.00125,0.1186437706790767,96.57
MNIST,SGD,256,456,0.01,0.01,0.122905487380039,96.45
MNIST,SAM,256,456,0.01,0.01,0.1136477886571138,96.41
MNIST,SGD,512,456,0.01,0.02,0.1247275332516094,96.45
MNIST,SAM,512,456,0.01,0.02,0.1199738362909488,96.38
MNIST,SGD,32,789,0.01,0.00125,0.1166366105893697,96.36
MNIST,SAM,32,789,0.01,0.00125,0.1182656024480062,96.62
MNIST,SGD,256,789,0.01,0.01,0.1206686425406785,96.5
MNIST,SAM,256,789,0.01,0.01,0.1152584284579301,96.46
MNIST,SGD,512,789,0.01,0.02,0.1255919650759337,96.16
MNIST,SAM,512,789,0.01,0.02,0.1207408768669614,96.46
MNIST,SGD,32,1011,0.01,0.00125,0.1123686312610654,96.52
MNIST,SAM,32,1011,0.01,0.00125,0.1192257580103493,96.57
MNIST,SGD,256,1011,0.01,0.01,0.1216604298607433,96.32
MNIST,SAM,256,1011,0.01,0.01,0.1141264946575131,96.8
MNIST,SGD,512,1011,0.01,0.02,0.1265057687348914,96.23
MNIST,SAM,512,1011,0.01,0.02,0.120446789728583,96.41
MNIST,SGD,32,1213,0.01,0.00125,0.1145439920157979,96.62
MNIST,SAM,32,1213,0.01,0.00125,0.1186642180444116,96.65
MNIST,SGD,256,1213,0.01,0.01,0.1232077637201801,96.31
MNIST,SAM,256,1213,0.01,0.01,0.1190081580202161,96.55
MNIST,SGD,512,1213,0.01,0.02,0.1244481513100975,96.33
MNIST,SAM,512,1213,0.01,0.02,0.116553072589186,96.66
MNIST,SGD,32,1415,0.01,0.00125,0.1147027504451074,96.31
MNIST,SAM,32,1415,0.01,0.00125,0.1150120863171241,96.57
MNIST,SGD,256,1415,0.01,0.01,0.1210796529718484,96.47
MNIST,SAM,256,1415,0.01,0.01,0.1142939195672482,96.57
MNIST,SGD,512,1415,0.01,0.02,0.125005989001607,96.22
MNIST,SAM,512,1415,0.01,0.02,0.12013433986115,96.38
MNIST,SGD,32,1617,0.01,0.00125,0.1152890501085942,96.53
MNIST,SAM,32,1617,0.01,0.00125,0.1199919430271974,96.55
MNIST,SGD,256,1617,0.01,0.01,0.1223449738281315,96.38
MNIST,SAM,256,1617,0.01,0.01,0.1168749624095256,96.45
MNIST,SGD,512,1617,0.01,0.02,0.1241947825787202,96.24
MNIST,SAM,512,1617,0.01,0.02,0.1233030322165984,96.3
MNIST,SGD,32,1819,0.01,0.00125,0.1174367338480202,96.37
MNIST,SAM,32,1819,0.01,0.00125,0.1197230750554179,96.62
MNIST,SGD,256,1819,0.01,0.01,0.1188169849144904,96.57
MNIST,SAM,256,1819,0.01,0.01,0.115889479287004,96.52
MNIST,SGD,512,1819,0.01,0.02,0.1267138615531741,96.32
MNIST,SAM,512,1819,0.01,0.02,0.1182306221211856,96.52
MNIST,SGD,32,2021,0.01,0.00125,0.1176098375537066,96.49
MNIST,SAM,32,2021,0.01,0.00125,0.1196767258059489,96.42
MNIST,SGD,256,2021,0.01,0.01,0.12133386872391,96.3
MNIST,SAM,256,2021,0.01,0.01,0.1165755088330727,96.44
MNIST,SGD,512,2021,0.01,0.02,0.1236603627649118,96.33
MNIST,SAM,512,2021,0.01,0.02,0.1168501024960347,96.47
