epoch,train_loss,train_acc,val_loss,val_acc,tainted,effective_batch_size,original_batch_size,test_acc,test_loss
1,1.8729631927880372,30.45555555555556,2.297523784637451,32.82,False,128,128,,
2,1.3521560857241803,50.73111111111111,1.3412813544273376,55.16,False,128,128,,
3,1.081149716268886,61.40444444444445,1.419181716442108,53.54,False,128,128,,
4,0.9156362736089664,67.74222222222222,1.0503322005271911,63.34,False,128,128,,
5,0.7839632911438291,72.23555555555555,0.9659174144268036,69.28,False,128,128,,
6,0.6871399444273927,75.9888888888889,0.9209891974925994,69.52,False,128,128,,
7,0.6210169842974707,78.4,0.8616110801696777,70.86,False,128,128,,
8,0.5639839294281873,80.46222222222222,0.6039741516113282,80.74,False,128,128,,
9,0.5225300709293648,81.90444444444445,0.6161752998828888,79.28,False,128,128,,
10,0.479283637621186,83.58888888888889,0.6870528101921082,77.34,False,128,128,,
11,0.4483421197669072,84.81111111111112,0.6209912240505219,79.02,False,128,128,,
12,0.4159299012442881,85.72666666666667,0.5386323362588883,82.36,False,128,128,,
13,0.3934591559862548,86.57777777777778,0.5977627247571945,79.88,False,128,128,,
14,0.3678395611826669,87.33111111111111,0.5229910135269165,82.7,False,128,128,,
15,0.3487282115119425,88.08,0.5003509223461151,83.94,False,128,128,,
16,0.3276969762519002,88.81333333333333,0.552743461728096,83.4,False,128,128,,
17,0.3139144908636808,89.22666666666667,0.4655527830123901,84.82,False,128,128,,
18,0.2949252785606818,89.69777777777777,0.4616916716098785,84.82,False,128,128,,
19,0.2663670912892981,90.75111111111111,0.4658411800861358,85.48,False,128,128,,
20,0.2711003898558291,90.68666666666668,0.6530129313468933,83.14,False,128,128,,
21,0.2562688864259557,91.18444444444444,0.6067123889923096,83.8,False,128,128,,
22,0.2457544811239296,91.66,0.5049172431230545,85.26,False,128,128,,
23,0.235064667945897,91.94222222222224,0.4775300651788711,86.66,False,128,128,,
24,0.2281269029375504,92.18222222222222,0.4404161185026168,86.44,False,128,128,,
25,0.2169635496525601,92.65333333333334,0.4525080919265747,86.54,False,128,128,,
26,0.2104230927811427,92.71333333333334,0.4960034608840942,86.4,False,128,128,,
27,0.1992699387483298,93.08888888888887,0.4227674692869186,87.9,False,128,128,,
28,0.1958708463829349,93.33777777777776,0.5558511048555375,86.68,False,128,128,,
29,0.186265963722359,93.61333333333332,0.4959546059370041,86.1,False,128,128,,
30,0.1810292425057427,93.95111111111112,0.509345942735672,86.74,False,128,128,,
31,0.1737869583832269,94.09555555555556,0.8129771769046783,84.52,False,128,128,,
32,0.1685092405162074,94.31333333333332,0.7433539688587188,84.3,False,128,128,,
33,0.1618825869465416,94.61555555555556,0.639108395576477,85.54,False,128,128,,
34,0.1541256299242377,94.68444444444444,0.4730580776929855,87.5,False,128,128,,
35,0.1532570062713189,94.79555555555557,0.4750575959682465,87.48,False,128,128,,
36,0.1515852303709834,94.91777777777776,0.498881134390831,87.28,False,128,128,,
37,0.1387447467158463,95.2688888888889,0.4502110362052917,87.96,False,128,128,,
38,0.1447700262069702,95.22666666666667,0.5412205815315246,86.9,False,128,128,,
39,0.1436492345634509,95.26,0.5584806352853775,88.02,False,128,128,,
40,0.1308676235758784,95.68,0.6151917219161988,87.88,False,128,128,,
41,0.1259597675155171,95.79333333333334,0.6300773203372956,87.46,False,128,128,,
42,0.1256213674575767,95.87555555555556,0.4560829699039459,89.42,False,128,128,,
43,0.1276065063959157,95.92222222222222,0.5776260286569596,87.38,False,128,128,,
44,0.1226489786905321,96.00444444444445,0.5573620170354843,87.84,False,128,128,,
45,0.1277059398125857,96.03333333333332,0.4775100588798523,88.76,False,128,128,,
46,0.1103522177700969,96.21333333333334,0.9040658175945282,86.54,False,128,128,,
47,0.1169974879488687,96.32222222222222,0.466751343011856,88.96,False,128,128,,
48,0.1126991655592891,96.40222222222222,0.6507692515850068,87.76,False,128,128,,
49,0.1112633403178981,96.42444444444445,0.5582413047552108,87.48,False,128,128,,
50,0.1117850447454574,96.66222222222224,0.6495151817798615,87.36,False,128,128,89.89,0.5080905571579933
