epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.2600143732706706,57.931666666666665,0.6180827853202819,82.5,Adam,1
2,0.4924451861381531,85.29,0.3381664975881576,90.54,Adam,2
3,0.3249457006692886,90.27333333333333,0.2630024596810341,92.49,Adam,3
4,0.251177909930547,92.475,0.2084969184875488,93.86,Adam,4
5,0.2173488902250925,93.365,0.1875783529639244,94.15,Adam,5
6,0.1955052984476089,93.95833333333331,0.1730624482154846,94.69,Adam,6
7,0.1712451306819915,94.86,0.1628505845546722,95.08,Adam,7
8,0.1581403719186782,95.25833333333334,0.1353103446125984,95.76,Adam,8
9,0.144830883193016,95.56666666666666,0.1287483992695808,96.01,Adam,9
10,0.1302065107027689,96.025,0.1151045169711112,96.39,Adam,10
