epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.2341343606313069,57.31666666666667,0.5762816840648651,82.45,SGD,1
2,0.4686700223763784,85.35,0.3522533284902572,89.31,SGD,2
3,0.317286402463913,90.05,0.2352852168679237,92.58,SGD,3
4,0.2519647215048472,92.145,0.2108772989749908,93.19,SGD,4
5,0.2091914656082789,93.535,0.2027026724874973,93.56,SGD,5
6,0.1920906117757161,94.15666666666668,0.2374484742343425,92.67,SGD,6
7,0.1742761430184046,94.62166666666668,0.1298022859692573,96.01,SGD,7
8,0.1542196565588315,95.28333333333332,0.1515345027804374,95.1,SGD,8
9,0.1419537690043449,95.69166666666666,0.121683071655035,96.27,SGD,9
10,0.136355533572038,95.76833333333332,0.1465940416306257,95.46,SGD,10
