epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.8174081860224407,36.67,1.4788598831176758,49.05,SGD,1
2,1.3778753651936848,52.016666666666666,1.2503250940322876,52.91,SGD,2
3,1.171963131650289,60.861666666666665,1.0114476020812988,68.95,SGD,3
4,1.0108576444625854,67.15333333333334,0.9324381105422974,66.81,SGD,4
5,0.8713408130645752,72.20833333333333,0.7609528950691223,76.8,SGD,5
6,0.7700247583071391,75.86166666666666,0.6384979166984558,81.15,SGD,6
7,0.6833630668958028,78.73166666666667,0.56343705534935,83.68,SGD,7
8,0.6104756803194682,81.31666666666666,0.5935207732200622,82.32,SGD,8
9,0.5488276108264923,83.35333333333334,0.4688472952365875,86.47,SGD,9
10,0.4992909701824188,85.115,0.4248771648883819,88.02,SGD,10
