epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.399115314388275,50.82,0.8487454971313476,74.45,Adam,1
2,0.7040575345675151,78.23833333333333,0.5297715381145477,84.14,Adam,2
3,0.4431345628738403,86.59666666666666,0.3257967501878738,90.3,Adam,3
4,0.3286890941937764,90.05333333333333,0.2542984394788742,92.35,Adam,4
5,0.2686697590192159,91.85666666666668,0.2341385117709636,93.02,Adam,5
6,0.2418625977476438,92.60333333333334,0.1809883722662925,94.68,Adam,6
7,0.2142393674850463,93.43833333333332,0.1928448738336563,94.49,Adam,7
8,0.1898643147230148,94.22,0.1551531839489937,95.46,Adam,8
9,0.1798649955709775,94.415,0.1624241566181183,95.13,Adam,9
10,0.1683362659772237,94.86,0.1496195150613784,95.59,Adam,10
