epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.8623120335261028,31.461666666666662,1.2590344146728516,54.57,SGD,1
2,1.026790095615387,64.39333333333333,0.626108001422882,80.42,SGD,2
3,0.5585049370288849,82.11333333333333,0.3981597295522689,87.47,SGD,3
4,0.366654785490036,88.57833333333333,0.3148895874261856,90.4,SGD,4
5,0.2991947994550069,90.76833333333332,0.2768400739908218,91.17,SGD,5
6,0.2448219643592834,92.57333333333334,0.2489762151062488,92.19,SGD,6
7,0.2136071819225947,93.43,0.1653376812249422,94.91,SGD,7
8,0.1899630308945973,94.17833333333331,0.1620162767291069,95.12,SGD,8
9,0.167640732439359,94.91833333333334,0.1490535601988434,95.34,SGD,9
10,0.1572316856543223,95.19833333333334,0.1486152627825737,95.06,SGD,10
