epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.399858169555664,51.14,0.807005802154541,75.05,Adam,1
2,0.6806109167098999,78.57333333333334,0.4790009431362152,86.08,Adam,2
3,0.4585992667675018,86.14166666666667,0.3853684562683105,87.9,Adam,3
4,0.3623983776887258,88.94666666666667,0.2959892080187797,91.07,Adam,4
5,0.3035840563297272,90.84,0.2418857552528381,92.63,Adam,5
6,0.2646132474263509,91.935,0.2500952669382095,92.42,Adam,6
7,0.2361547047297159,92.705,0.1942587613821029,94.01,Adam,7
8,0.211312822039922,93.53,0.1806850957095623,94.44,Adam,8
9,0.1896874501069387,94.24166666666666,0.1662571761012077,94.91,Adam,9
10,0.1737404892921447,94.745,0.1822312132060528,94.08,Adam,10
