epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.787745277404785,34.83,1.3555667518615722,45.05,SGD,1
2,0.9261824930508932,68.59,0.6392430678844452,79.44,SGD,2
3,0.4732467980702718,85.31166666666667,0.4214183876037597,86.55,SGD,3
4,0.3189296749273936,90.11666666666666,0.2301146957874298,93.13,SGD,4
5,0.2505380648374558,92.475,0.2638613873958587,91.99,SGD,5
6,0.2162266976912816,93.345,0.1797904807686805,94.5,SGD,6
7,0.1881416074236234,94.215,0.1598796959042549,95.15,SGD,7
8,0.1750644180615743,94.645,0.1858458376586437,94.48,SGD,8
9,0.161859974416097,95.01,0.1444302402287721,95.53,SGD,9
10,0.151795726664861,95.29833333333332,0.1304473004668951,96.01,SGD,10
