epoch,phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy
1,eval,,,,,,,18.03509259223938,,469.0,,,,,False,128.0,128.0,0.2925639926433563,0.9156
2,eval,,,,,,,35.81755042076111,,938.0,,,,,False,128.0,128.0,0.2292164618849754,0.9344
3,eval,,,,,,,54.22860360145569,,1407.0,,,,,False,128.0,128.0,0.1929427068054676,0.9439
4,eval,,,,,,,73.09683990478516,,1876.0,,,,,False,128.0,128.0,0.1648632983207702,0.9516
5,eval,,,,,,,92.3183126449585,,2345.0,,,,,False,128.0,128.0,0.1448070692956447,0.9571
6,eval,,,,,,,111.85054063796996,,2814.0,,,,,False,128.0,128.0,0.1306394258588552,0.9609
7,eval,,,,,,,131.50771069526672,,3283.0,,,,,False,128.0,128.0,0.1198852884531021,0.9645
8,eval,,,,,,,151.5681688785553,,3752.0,,,,,False,128.0,128.0,0.1114663381725549,0.9668
9,eval,,,,,,,171.45713257789612,,4221.0,,,,,False,128.0,128.0,0.1034148294508457,0.9689
10,eval,,,,,,,191.6860394477844,,4690.0,,,,,False,128.0,128.0,0.0996940723672509,0.9699
