epoch,train_acc,test_acc,train_loss,test_loss
1,89.81,86.15,0.350386326944828,0.4615483918190002
2,91.64,88.1,0.2939897533416748,0.4113778891563415
3,93.02,89.25,0.2414369542837142,0.3604182121753693
4,94.12,89.55,0.2168065318226814,0.3477125148773193
5,94.77,89.9,0.1897103725194931,0.3293168506622314
6,94.95,89.55,0.1774894661903381,0.3156034607887268
7,95.82,90.95,0.1547190865039825,0.2945898213386536
8,96.25,90.55,0.1394158462405204,0.2872758712768554
9,96.61,90.8,0.1296710991859436,0.2836650097370147
10,96.77,91.15,0.1252023976534605,0.2779375109672546
