epoch,train_acc,test_acc,train_loss,test_loss
1,90.41,86.85,0.3325634590148926,0.4371238331794739
2,92.45,88.6,0.2685347428321838,0.3836379420757294
3,94.08,90.15,0.2100942013263702,0.3266961922645569
4,95.1,90.85,0.1785889853358268,0.3025564389228821
5,95.83,91.2,0.150271717596054,0.2795374376773834
6,96.25,91.0,0.1368366124629974,0.2656137456893921
7,97.16,92.25,0.1148256293475628,0.2489080681800842
8,97.68,92.35,0.0977798267722129,0.2349365017414093
9,97.71,92.1,0.089824251461029,0.2343074867725372
10,98.06,92.85,0.0864761898756027,0.2322095047235489
