epoch,train_acc,test_acc,train_loss,test_loss
1,68.65,79.75,1.0002765402793885,0.7044974889755249
2,79.19,86.05,0.7014676132202149,0.5092173478603363
3,84.18,87.9,0.5352857297897339,0.4147545349597931
4,87.83,91.9,0.4307369489192962,0.3323875477313995
5,89.06,92.15,0.3756611966133117,0.2926391274929046
6,90.37,92.75,0.333788583946228,0.2637909545898437
7,91.24,94.0,0.3099167098522186,0.2348942167758941
8,91.98,94.55,0.2872055957794189,0.2232673580646514
9,92.97,94.6,0.2468653802871704,0.204733790397644
10,92.94,94.7,0.25206837682724,0.1972509306669235
