epoch,train_acc,test_acc,train_loss,test_loss
1,90.54,86.9,0.3349589531302452,0.43950785779953
2,92.58,88.45,0.2653168083429336,0.3798949124813079
3,94.14,90.2,0.2064098751544952,0.3198994507789612
4,95.14,91.1,0.1738428429603576,0.2954915640354156
5,95.8,91.7,0.1495690962076187,0.2693700265884399
6,96.48,92.05,0.129413597369194,0.2491667022705078
7,96.9,92.2,0.1183365528106689,0.2384923255443573
8,97.54,92.7,0.0989748491108417,0.2210583729743957
9,97.61,92.65,0.0903768931388855,0.2210894321203231
10,97.92,92.95,0.0841006097078323,0.2153755090236664
