epoch,train_acc,test_acc,train_loss,test_loss
1,90.36,86.55,0.3838092247247696,0.4924058632850647
2,92.74,89.05,0.3209232530593872,0.4312802107334137
3,94.24,90.4,0.275198872089386,0.3852843427658081
4,95.41,91.3,0.2377159800887107,0.3496112415790557
5,95.99,91.7,0.2142792885541916,0.3301211924552917
6,96.62,92.25,0.1967412219285965,0.3108350329399109
7,97.26,92.85,0.1809595860123634,0.2982400677204132
8,97.71,93.45,0.1664397763729095,0.2818188600540161
9,97.92,93.8,0.1559290100574493,0.2789805719852447
10,98.26,93.75,0.1545193602204322,0.2757247014045715
