iteration,loss,grad_norm,x,y,optimizer,elapsed_seconds,test_acc
0,12.5,2.375,-1.4500000476837158,2.049999952316284,Adam_start0,0.0,0.01
1,6.278127670288086,2.385427236557007,-1.3999857902526855,2.099876165390014,Adam_start0,0.001,0.01
2,7.717578887939453,2.397585868835449,-1.3865480422973633,2.1083884239196777,Adam_start0,0.002,0.01
3,9.15048599243164,2.39728045463562,-1.39143705368042,2.098455905914306,Adam_start0,0.003,0.01
4,8.355011940002441,2.3919661045074463,-1.407256841659546,2.078047752380371,Adam_start0,0.004,0.01
5,6.748944282531738,2.3842263221740723,-1.4302752017974854,2.050798177719116,Adam_start0,0.005,0.01
6,5.908849716186523,2.189736604690552,-1.4408226013183594,2.018022298812866,Adam_start0,0.006,0.01
7,6.293405055999756,2.355613946914673,-1.440547227859497,1.997684001922608,Adam_start0,0.007,0.01
8,6.556775569915772,2.339762926101685,-1.4320870637893677,1.987433671951294,Adam_start0,0.008,0.01
9,6.3175048828125,2.3271636962890625,-1.4172226190567017,1.9852148294448853,Adam_start0,0.009,0.01
10,5.897277355194092,2.3172199726104736,-1.39716899394989,1.988683700561524,Adam_start0,0.01,0.01
11,5.880393981933594,2.308899402618408,-1.386430740356445,1.9830777645111084,Adam_start0,0.011,0.01
12,6.065781593322754,2.2986831665039062,-1.383558988571167,1.9708706140518188,Adam_start0,0.012,0.01
13,6.002107620239258,2.2876198291778564,-1.3872694969177246,1.9531875848770144,Adam_start0,0.013,0.01
14,5.781257629394531,2.275930643081665,-1.3963645696640017,1.9301568269729608,Adam_start0,0.014,0.01
15,5.781282901763916,2.263181686401367,-1.3981696367263794,1.91370177268982,Adam_start0,0.015,0.01
16,5.920767784118652,2.2515463829040527,-1.393823266029358,1.903807044029236,Adam_start0,0.016,0.01
17,5.881992340087891,2.2415218353271484,-1.384183645248413,1.8996418714523315,Adam_start0,0.017,0.01
18,5.710973739624023,2.2329249382019043,-1.369895577430725,1.8996824026107788,Adam_start0,0.018,0.01
19,5.669620513916016,2.224989652633667,-1.3622064590454102,1.891790151596069,Adam_start0,0.019,0.01
20,5.7109456062316895,2.2146363258361816,-1.3605393171310425,1.8782137632369995,Adam_start0,0.02,0.01
21,5.645840167999268,2.203253030776977,-1.3640503883361816,1.8592909574508667,Adam_start0,0.021,0.01
22,5.588914394378662,2.190691471099853,-1.361595630645752,1.8427987098693848,Adam_start0,0.022,0.01
23,5.589552879333496,2.176692247390747,-1.35402250289917,1.830881118774414,Adam_start0,0.023,0.01
24,5.542044639587402,2.163311004638672,-1.3418675661087036,1.82126259803772,Adam_start0,0.024,0.01
