epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.141639793650309,1.141639793650309,0.5452444741249084,86.99,86.99,SAM_rho_0.05,1
2,0.4705933868408203,0.4705933868408203,0.3904684230804443,89.58,89.58,SAM_rho_0.05,2
3,0.3786506151040395,0.3786506151040395,0.3377821696281433,90.52,90.52,SAM_rho_0.05,3
4,0.3385068269093831,0.3385068269093831,0.3097748383522034,91.25,91.25,SAM_rho_0.05,4
5,0.3129747952858607,0.3129747952858607,0.2898453967094421,91.72,91.72,SAM_rho_0.05,5
6,0.2938770915985107,0.2938770915985107,0.274365871143341,92.08,92.08,SAM_rho_0.05,6
7,0.2783224851290385,0.2783224851290385,0.2611404175758361,92.54,92.54,SAM_rho_0.05,7
8,0.2647513253529867,0.2647513253529867,0.2507202500343323,92.98,92.98,SAM_rho_0.05,8
9,0.2528194655895233,0.2528194655895233,0.2393622391700744,93.11,93.11,SAM_rho_0.05,9
10,0.2420761700431505,0.2420761700431505,0.2308209963798523,93.48,93.48,SAM_rho_0.05,10
