Seed,Beta1,Beta2,Optimizer,Final_Train_Acc,Final_Test_Acc,Final_Train_Loss,Final_Test_Loss,mean_grad_norm,smoothness_index,mean_speed,oscillation_index,smoothness
42,0.7,0.9,Adam,93.53,89.2,0.2011818383693695,0.34078591179847717,1.1520145178071104,0.0,,,
42,0.7,0.99,Adam,93.63,88.9,0.20501877136230467,0.3413832111358643,1.168884125043419,0.0,,,
42,0.7,0.999,Adam,93.72,89.3,0.2048468574523926,0.33732138633728026,1.1738464625036638,0.0,,,
42,0.9,0.9,Adam,94.68,89.9,0.1850855905532837,0.315356486082077,1.354768737576198,0.0,,,
42,0.9,0.99,Adam,94.43,89.65,0.19496316361427307,0.3227252535820007,1.3174839239280365,0.0,,,
42,0.9,0.999,Adam,94.37,89.45,0.19670297079086305,0.3235099973678589,1.314189822745234,0.0,,,
42,0.99,0.9,Adam,91.4,86.7,0.3012737198829651,0.4924060926437378,2.209594583342528,0.0,,,
42,0.99,0.99,Adam,92.27,87.85,0.26824133501052855,0.43529447507858277,1.9601394512683774,0.0,,,
42,0.99,0.999,Adam,92.32,87.95,0.26709120655059815,0.43130921602249145,1.9438108817086182,0.0,,,
123,0.7,0.9,Adam,93.51,89.1,0.1993296085834503,0.3336476438045502,1.1263985019055216,0.0,,,
123,0.7,0.99,Adam,93.48,89.25,0.2027443398475647,0.3350116515159607,1.1385714883099882,0.0,,,
123,0.7,0.999,Adam,93.77,89.75,0.19773391637802123,0.3276472792625427,1.1374575425247355,0.0,,,
123,0.9,0.9,Adam,95.01,90.5,0.17659731311798096,0.30092442417144777,1.3436765010115057,0.0,,,
123,0.9,0.99,Adam,94.77,90.55,0.18710548076629638,0.30690627431869505,1.3035847627671677,0.0,,,
123,0.9,0.999,Adam,94.79,90.65,0.18890175552368163,0.30826532816886903,1.3016713488127003,0.0,,,
123,0.99,0.9,Adam,91.68,87.65,0.30203012762069703,0.47749948453903196,2.1012016552228387,0.0,,,
123,0.99,0.99,Adam,92.52,88.5,0.2619702880859375,0.42554778146743777,1.8571521837839504,0.0,,,
123,0.99,0.999,Adam,92.6,88.65,0.25870088863372803,0.41923903083801267,1.8344537573393316,0.0,,,
456,0.7,0.9,Adam,93.57,89.05,0.20419959678649902,0.34294940400123597,1.137068994128859,0.0,,,
456,0.7,0.99,Adam,93.45,88.75,0.20880384407043456,0.3422166209220886,1.1538161439231083,0.0,,,
456,0.7,0.999,Adam,93.62,88.95,0.20685883913040162,0.3388277997970581,1.1544775721888831,0.0,,,
456,0.9,0.9,Adam,94.56,89.95,0.1869849708557129,0.31669345664978027,1.3641275816030445,0.0,,,
456,0.9,0.99,Adam,94.47,90.1,0.19463758926391603,0.3225982480049133,1.3094342112154884,0.0,,,
456,0.9,0.999,Adam,94.49,89.95,0.19633655829429628,0.3237236135005951,1.3043961553581271,0.0,,,
456,0.99,0.9,Adam,91.74,87.25,0.29111499042510985,0.47997814846038817,2.127778543166622,0.0,,,
456,0.99,0.99,Adam,92.38,88.15,0.2663183434486389,0.43026926016807554,1.922194006409178,0.0,,,
456,0.99,0.999,Adam,92.46,88.05,0.2641063255310059,0.4255347878932953,1.9062224013257993,0.0,,,
