epoch,train_acc,test_acc,train_loss,test_loss
1,89.63,85.35,0.36368586311340334,0.4728658008575439
2,92.12,87.9,0.2823639489412308,0.39883474254608153
3,93.54,89.7,0.2279010809659958,0.347319326877594
4,94.65,90.5,0.1961820383965969,0.3249894587993622
5,95.36,90.7,0.16530481591224672,0.30178949689865114
6,95.95,90.8,0.15179254553318022,0.2859916390180588
7,96.68,91.95,0.12518299773335456,0.26382646775245666
8,97.24,92.0,0.10775922682881356,0.24918454658985137
9,97.5,91.75,0.09739486322402954,0.24467902052402496
10,98.0,92.55,0.0868922387033701,0.23768667483329772
